# Map of the thlines files.
#
# Lines starting with a "#" are ignored.
#
# Meanings of columns below.
# filename / niv inf / niv sup / central lambda / kiex / c1
thalpha   2 3 6562.817 10.199 2442.326
thbeta    2 4 4861.342 10.199 249.628
thgamma   2 5 4340.475 10.199 74.4776
thdelta   2 6 4101.742 10.199 32.8903
thepsilon 2 7 3970.070 10.199 17.72642
# todo find the other five
