LI 0.40 0.05 33      6.94      5.39     75.64      3.00
  4784  3260     0  3267  3156     0  2258  3094     0  1574  3057     0  1104
  3035     0   776  3022     0   547  3015     0   385  3012     0   270  3010
     0   190  3010     0   133  3010     0    93  3011     0    65  3012     0
    46  3012     0    33  3013     0    24  3013     0    18  3014     0    15
  3014     0    12  3014     0    11  3014     0    10  3013     0    10  3013
     0     9  3013     0     9  3012     0     8  3012     0     8  3011     0
     7  3010     0     7  3010     0     6  3009     0     5  3009     0     4
  3008     0     3  3008     0     2  3008     0
AL 0.40 0.05 33     26.97      5.98     18.82      6.47
  9731   533  3040  9012   315  3024  8552   184  3015  8252   104  3011  8055
    57  3009  7925    29  3008  7838    13  3008  7781     5  3009  7743     1
  3009  7718     0  3010  7702     0  3010  7691     1  3011  7684     3  3011
  7679     4  3011  7676     5  3012  7673     6  3012  7671     7  3012  7668
     7  3011  7665     7  3011  7662     7  3011  7659     6  3011  7655     6
  3011  7651     5  3010  7646     4  3010  7642     3  3010  7637     2  3010
  7631     1  3010  7626     0  3009  7621     0  3009  7615    -1  3009  7609
    -2  3009  7604    -3  3009  7598    -4  3009
SI 0.40 0.05 33     28.06      8.15     16.34      7.55
 11114  7778   101 10812  7719    48 10593  7681    19 10427  7656     4 10296
  7638    -2 10190  7624    -4 10102  7612    -4 10026  7601    -3  9961  7591
    -1  9902  7580     0  9850  7570     1  9802  7559     2  9758  7548     4
  9717  7537     4  9679  7526     5  9644  7514     5  9611  7503     5  9579
  7491     5  9549  7479     4  9521  7467     4  9494  7455     3  9468  7442
     2  9444  7430     2  9420  7418     1  9398  7406     0  9376  7394     0
  9356  7382     0  9336  7370    -1  9317  7358    -1  9299  7346    -2  9281
  7334    -2  9265  7323    -3  9248  7311    -3
 P 0.40 0.05 33     30.97     10.49     19.73      0.00
  8857 10274  7603  8462 10146  7570  8114 10032  7541  7812  9930  7515  7552
  9840  7490  7329  9759  7466  7139  9685  7443  6976  9619  7419  6836  9558
  7396  6716  9503  7373  6614  9451  7350  6526  9404  7328  6451  9360  7305
  6386  9319  7282  6331  9280  7259  6284  9244  7236  6243  9210  7213  6208
  9177  7190  6179  9146  7167  6153  9117  7144  6132  9088  7121  6113  9061
  7098  6098  9034  7075  6084  9009  7053  6073  8984  7030  6064  8960  7008
  6056  8937  6985  6049  8914  6963  6044  8892  6941  6039  8870  6919  6036
  8849  6896  6033  8828  6874  6030  8807  6853
 S 0.40 0.05 33     32.06     10.36     23.33      7.21
 12817  7917  9942 12640  7580  9810 12491  7300  9692 12365  7069  9587 12255
  6879  9492 12160  6722  9407 12075  6593  9330 11998  6487  9259 11930  6399
  9194 11868  6327  9134 11811  6267  9078 11758  6218  9025 11710  6178  8975
 11665  6146  8927 11623  6119  8882 11584  6097  8838 11547  6080  8796 11512
  6066  8755 11480  6054  8715 11448  6046  8677 11419  6039  8639 11390  6034
  8602 11363  6030  8566 11337  6027  8530 11312  6025  8495 11288  6024  8460
 11265  6023  8426 11243  6023  8392 11221  6023  8358 11200  6024  8325 11180
  6024  8292 11160  6025  8259 11141  6025  8227
CL 0.40 0.05 33     35.45     12.97     23.81      0.00
  7692 10013  7366  7646  9898  7076  7614  9798  6848  7590  9709  6670  7569
  9632  6529  7552  9563  6417  7535  9502  6328  7520  9447  6258  7505  9398
  6202  7490  9353  6158  7476  9313  6123  7461  9275  6096  7446  9240  6075
  7432  9208  6058  7417  9178  6045  7402  9149  6036  7387  9122  6029  7372
  9097  6024  7358  9072  6020  7343  9049  6018  7328  9027  6017  7314  9005
  6017  7299  8984  6017  7285  8964  6017  7271  8944  6018  7257  8925  6019
  7243  8906  6021  7229  8887  6022  7216  8869  6023  7202  8852  6025  7189
  8834  6026  7176  8817  6027  7163  8800  6028
